HD,SD,1,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
"101 (Scot, Wales, NI)",101 (Eng),,BBC One,4 national HD & 17 regional SD variations (Virgin unavailable in CI or ScotB),?,?,BBC,24 hours,Player,,
108 (Eng),,,,On-demand,,,,,,,
,300,,New Music on Demand,Service,1,101,Virgin Media (Liberty Global),24 hours,,Player,
,310,,MTV Music,,4,406,ViacomCBS Networks UK & Australia,06:00–03:00,,Full House,
311,,,MTV Live,,29,2903,ViacomCBS Networks UK & Australia,24 hours,Full House,,
,312,,MTV Hits,,4,404,ViacomCBS Networks UK & Australia,06:00–03:00,,Full House,
,313,,MTV Base,,4,402,ViacomCBS Networks UK & Australia,06:00–03:00,,Full House,
,316,,MTV Classic e,,4,407,ViacomCBS Networks UK & Australia,06:00–03:00,,Full House,
,335,,The Box e,,5,520,The Box Plus Network (Channel Four Television Corporation),24 hours,,Full House,
,336,,Box Hits e,,5,518,The Box Plus Network (Channel Four Television Corporation),24 hours,,Full House,
,337,,4Music,,4,424,The Box Plus Network (Channel Four Television Corporation),24 hours,,Full House,
,338,,Kiss,,5,519,The Box Plus Network (Channel Four Television Corporation),24 hours,,Full House,
,340,,Magic,,5,521,The Box Plus Network (Channel Four Television Corporation),24 hours,,Full House,
,342,,Kerrang!,,5,517,The Box Plus Network (Channel Four Television Corporation),24 hours,,Full House,
,344,,Vevo,Service,22,2202,Vevo UK Ltd,24 hours,,Player,
,345,,Clubland TV e,,6,615,All Around the World Productions,24 hours,,Player,
,346,,NOW 80s e,,2,224,All Around the World Productions,24 hours,,Player,
,347,,NOW 90s e,,11,1105,All Around the World Productions,24 hours,,Player,
,348,,NOW 70s e,,2,225,All Around the World Productions,24 hours,,Player,
,,,,,,,,,,,
Movies,,,,,,,,,,,
,,,,,,,,,,,
HD,SD,1,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
,400,,Virgin Movies & Store,,10,1013,FilmFlex/Virgin Media (Liberty Global),24 hours,,Player,
401,,,Sky Cinema Premiere e,,26,2603,Sky UK Ltd,24 hours,V.VIP,,
402,,,Sky Cinema Must See Movies e,,17,1702,Sky UK Ltd,24 hours,V.VIP,,
,,,(Sky Cinema Select),,,,,,,,
403,,,Sky Cinema Hits e,,24,2404,Sky UK Ltd,24 hours,V.VIP,,
404,,,Sky Cinema Greats e,,30,3004,Sky UK Ltd,24 hours,V.VIP,,
406,,,Sky Cinema Family e,,19,1902,Sky UK Ltd,24 hours,V.VIP,,
407,,,Sky Cinema Action e,,20,2002,Sky UK Ltd,24 hours,V.VIP,,
